,city,cloud,country,date,humidity,lat,lon,temp_max,wind speed
152,Piquete,75,BR,1559418880,57,-22.61,-45.18,82.4,4.7
153,Giresun,40,TR,1559418880,77,40.91,38.39,68.0,1.12
154,Cidreira,100,BR,1559418557,79,-30.17,-50.22,63.41,9.48
155,Terrace,75,CA,1559418880,50,54.52,-128.61,61.0,12.75
156,Khatanga,83,RU,1559418839,89,71.98,102.47,40.19,7.11
157,Port-Cartier,75,CA,1559418881,53,50.03,-66.88,51.8,11.41
158,Sao Gabriel da Cachoeira,20,BR,1559418881,55,-0.13,-67.09,89.6,6.93
159,Talnakh,90,RU,1559418814,100,69.49,88.39,30.2,8.95
160,Yaan,100,NG,1559418881,87,7.38,8.57,77.45,5.32
161,Labuhan,100,ID,1559418656,95,-2.54,115.51,73.67,1.77
162,Puerto Ayora,20,EC,1559418819,65,-0.74,-90.35,82.4,20.8
163,Avarua,1,CK,1559418800,78,-21.21,-159.78,77.0,14.99
164,Pak Phanang,75,TH,1559418882,81,8.35,100.2,80.69,4.27
165,Rimouski,20,CA,1559418882,38,48.45,-68.52,60.8,14.99
166,Ilulissat,45,GL,1559418799,58,69.22,-51.1,43.79,6.08
167,Faanui,0,PF,1559418808,70,-16.48,-151.75,81.41,7.94
168,Saldanha,0,PT,1559418802,34,41.42,-6.55,70.79,5.14
169,Konce,75,MK,1559418882,62,41.5,22.39,58.19,2.08
170,Husavik,0,CA,1559418882,33,50.56,-96.99,63.0,8.01
171,Adrar,0,DZ,1559418883,15,27.87,-0.29,91.4,16.11
172,Saltpond,100,GH,1559418819,84,5.2,-1.06,79.43,7.76
173,Makakilo City,75,US,1559418717,61,21.35,-158.09,86.0,8.05
174,Half Moon Bay,20,US,1559418883,72,37.46,-122.43,84.0,6.93
175,San Pedro,14,AR,1559418585,52,-33.68,-59.66,66.0,4.0
176,Ancud,90,CL,1559418640,87,-41.87,-73.83,51.8,17.22
177,Rio Cuarto,0,AR,1559418716,45,-33.13,-64.35,66.2,8.05
178,Carnarvon,24,ZA,1559418829,45,-30.97,22.13,53.69,3.65
179,Bredasdorp,26,ZA,1559418818,87,-34.53,20.04,53.01,3.36
180,Moose Factory,90,CA,1559418799,87,51.26,-80.61,44.6,9.17
181,Villa Bruzual,100,VE,1559418885,91,9.33,-69.12,73.13,2.62
182,Kununurra,24,AU,1559418821,29,-15.77,128.74,66.2,11.41
183,Saint-Joseph,0,FR,1559418886,68,43.56,6.97,71.6,4.05
184,Port Elizabeth,20,US,1559418841,57,39.31,-74.98,87.01,3.36
185,Birjand,0,IR,1559418886,35,32.86,59.22,69.8,6.93
186,Bethel,90,US,1559418826,81,60.79,-161.76,53.6,3.36
187,Balud,56,PH,1559418886,87,12.22,124.89,79.97,4.09
188,Hobyo,100,SO,1559418886,69,5.35,48.53,81.41,19.98
189,Hlubocky,0,CZ,1559418887,77,49.62,17.39,66.2,3.76
190,Shache,100,CN,1559418831,41,38.42,77.24,82.99,4.94
191,Teguldet,98,RU,1559418887,84,57.31,88.17,34.97,1.32
192,Sola,90,FI,1559418836,93,62.78,29.36,50.0,4.16
193,Baran,0,IN,1559418887,19,25.1,76.52,100.31,11.88
194,Geraldton,90,CA,1559418887,30,49.72,-86.95,59.0,14.99
195,Namibe,0,AO,1559418833,80,-15.19,12.15,67.37,9.31
196,Portland,20,US,1559418831,49,45.52,-122.67,77.0,5.82
197,Nadym,25,RU,1559418805,85,65.53,72.51,29.21,5.97
198,Mayskiy,100,RU,1559418888,60,43.63,44.06,69.8,6.71
199,Cayenne,20,GF,1559418888,66,4.94,-52.33,86.0,10.29
200,Mount Gambier,90,AU,1559418824,93,-37.83,140.78,50.0,8.05
201,Nalut,0,LY,1559418889,52,31.86,10.98,64.67,18.21
202,Elliot Lake,75,CA,1559418889,71,46.37,-82.65,55.4,6.93
203,Bougouni,100,ML,1559418889,50,11.42,-7.49,90.77,8.46
204,Solwezi,37,ZM,1559418889,61,-12.18,26.4,54.77,4.61
205,Haysville,1,US,1559418890,51,37.56,-97.35,90.0,8.05
206,Mandera,58,ET,1559418890,59,3.94,41.86,82.67,12.03
